run_dir,method,scheme,selected_epoch,dice,iou,precision,recall,specificity,tolerant_precision,tolerant_recall,tolerant_f1
CRACKS35,real,primary,67,0.10339871879155875,0.05451789989600612,0.11280503060729025,0.09544036917343879,0.9820921330966235,0.11280503060729025,0.1611746941194506,0.13272015407562
CRACKS35,real,inclusive_uncertain,67,0.07274734998219402,0.03774665972389344,0.27548866035547565,0.04190676289163829,0.9820921330966235,0.2755022815500544,0.07153676088177068,0.11358111255504993
CRACKS35,slog,primary,65,0.17729933391642486,0.09727287492432136,0.16942483508850964,0.1859414910881605,0.9782530015625163,0.16942483508850964,0.2985704407219347,0.21617844972099295
CRACKS35,slog,inclusive_uncertain,65,0.15495726351635863,0.08398573130706044,0.4157176325858278,0.09522625507905624,0.9782530015625163,0.4157176325858278,0.1565872872804395,0.22748745629876876
CRACKS35,log,primary,56,0.11570041633606089,0.06140234670703818,0.07328173584393993,0.2747209325298437,0.9171171128707334,0.07328173584393993,0.4094918220176953,0.12431613298247057
CRACKS35,log,inclusive_uncertain,56,0.14216740932589472,0.07652326158963009,0.18470006524279978,0.11555699216151631,0.9171171128707334,0.1847331834183857,0.18082172479740372,0.18275652269194304
CRACKS35,canny,primary,45,0.14173635129809808,0.07627354245298218,0.10274263879808168,0.22843312964815224,0.952406620018898,0.10274263879808168,0.3287139611351338,0.15655312260494225
CRACKS35,canny,inclusive_uncertain,45,0.18381038868805144,0.10120660725246279,0.3087872164605522,0.13085062958565388,0.952406620018898,0.3089681340550327,0.19338442953965357,0.2378792485230565
CRACKS39,real,primary,55,0.07934890456141701,0.0413135445317816,0.07557820262313378,0.08351561507739327,0.9756296118480758,0.07557820262313378,0.15884619184034113,0.10242371906883098
CRACKS39,real,inclusive_uncertain,55,0.07371208624154307,0.03826639087285788,0.22684596733706175,0.04400572708492529,0.9756296118480758,0.22685664847310738,0.07516073755902533,0.1129121252180666
CRACKS39,slog,primary,64,0.12352314087642491,0.06582715916577701,0.11168271204999411,0.13817191402885393,0.973780579980557,0.11168271204999411,0.20799875813208846,0.14533131789799805
CRACKS39,slog,inclusive_uncertain,64,0.09127873318576381,0.04782192914846765,0.2560541072400669,0.05553863399493067,0.973780579980557,0.2560541072400669,0.08988042327384355,0.1330555283988354
CRACKS39,log,primary,54,0.1908991894988382,0.10552158751504555,0.14334065000353016,0.2856860614441956,0.9592667571879736,0.14334065000353016,0.4190316252945317,0.2136103329129006
CRACKS39,log,inclusive_uncertain,54,0.15234459895863392,0.08245292865367115,0.29146437878830533,0.1031227531448181,0.9592667571879736,0.29155222394657304,0.16005171781467037,0.20665644794891777
CRACKS39,canny,primary,35,0.16518120863246596,0.09002589760340993,0.11892905485116054,0.2703038342670481,0.9522254876181833,0.11892905485116054,0.3938273521400497,0.1826891413251847
CRACKS39,canny,inclusive_uncertain,35,0.14488745646410348,0.07810170707376271,0.25580565986279047,0.10106522950816066,0.9522254876181833,0.2559000608361694,0.1508229058532683,0.18978810146154945
CRACKS42,real,primary,30,0.1035416767634285,0.054597391092001506,0.0837150171539956,0.13567406612944558,0.9645721184713606,0.0837150171539956,0.21224651077458515,0.12007114447863021
CRACKS42,real,inclusive_uncertain,30,0.1110679100017334,0.058799313426792024,0.24725844641718486,0.07161964199502979,0.9645721184713606,0.24726559985119087,0.11325704126857597,0.15535539949939126
CRACKS42,slog,primary,51,0.15027746285576776,0.08124324585879762,0.15937099555454598,0.1421656482409023,0.9821099769948352,0.15937099555454598,0.2302535950663651,0.18836461874974558
CRACKS42,slog,inclusive_uncertain,51,0.10063760429536305,0.0529849409059338,0.34820420980320543,0.05881865405216001,0.9821099769948352,0.34820420980320543,0.097302426966197,0.15210150034522762
CRACKS42,log,primary,47,0.131631428128866,0.07045260239902222,0.10017608357706785,0.1918826999336459,0.9588802516191622,0.10017608357706785,0.30650146060593186,0.15099980620192643
CRACKS42,log,inclusive_uncertain,47,0.13752812172297985,0.07384171719693704,0.2677378739732437,0.09252847484247216,0.9588802516191622,0.2680616343905349,0.15187135193599605,0.1938922788787348
CRACKS42,canny,primary,46,0.14062676105472,0.07563127085473695,0.11346590220158032,0.18488308096129255,0.9655373723614146,0.11346590220158032,0.3205148106856634,0.16759962019265298
CRACKS42,canny,inclusive_uncertain,46,0.1567595670600073,0.08504564258606986,0.32706378894357885,0.10308338461602003,0.9655373723614146,0.3271952718738074,0.16911891160521716,0.22298338024060568
