run_dir,method,scheme,tp,fp,fn,tn,tol_pred_match,tol_pred_total,tol_gt_match,tol_gt_total,valid_pixels,fault_pixels,stem,dice,iou,precision,recall,specificity,tolerant_precision,tolerant_recall,tolerant_f1
CRACKS35,real,primary,187,1678,3776,67431,187,1865,286,3963,73072,3963,section_010,0.06417295813304019,0.03315015068244433,0.10026809651420768,0.04718647489263895,0.9757195155477615,0.10026809651420768,0.07216754983580075,0.08392815042200069
CRACKS35,real,primary,245,1940,3084,60661,245,2185,392,3329,65930,3329,section_013,0.08886470801579821,0.046498386790574116,0.11212814645257607,0.07359567437646862,0.9690100797110319,0.11212814645257607,0.1177530790023498,0.11487178987435111
CRACKS35,real,primary,50,591,3260,66211,50,641,150,3310,70112,3310,section_017,0.02531004808902731,0.012817226352184524,0.0780031201235881,0.015105740181223246,0.9911529594920825,0.0780031201235881,0.04531722054366974,0.057328487611469865
CRACKS35,real,primary,54,1951,3141,72815,54,2005,133,3195,77961,3195,section_022,0.02076923076919083,0.010493587252214354,0.02693266832904273,0.016901408450651325,0.9739052510498123,0.02693266832904273,0.041627543035863454,0.032705285590333276
CRACKS35,real,primary,59,1501,3127,75511,59,1560,102,3186,80198,3186,section_024,0.02486304256210522,0.012588009387641161,0.03782051282027039,0.018518518518460394,0.9805095309820573,0.03782051282027039,0.03201506591327051,0.03467648036689662
CRACKS35,real,primary,309,2573,2373,53738,309,2882,578,2682,58993,2682,section_035,0.11107117181863575,0.05880114176963121,0.10721721027027337,0.11521252796377625,0.9543073289408901,0.10721721027027337,0.21551081282544554,0.14319467641269393
CRACKS35,real,primary,349,2270,3057,53990,349,2619,518,3406,59666,3406,section_041,0.11585062240644672,0.06148696264964502,0.1332569683080059,0.10246623605372147,0.9596516174900535,0.1332569683080059,0.15208455666426282,0.14204961047480458
CRACKS35,real,primary,47,2278,3081,59115,47,2325,102,3128,64521,3128,section_043,0.017238217494925292,0.008694043655181847,0.020215053763353915,0.015025575447522298,0.9628947925657709,0.020215053763353915,0.03260869565206967,0.024957956156636697
CRACKS35,real,primary,73,1988,2234,63693,73,2061,115,2307,67988,2307,section_046,0.0334249084248319,0.016996507566898727,0.03541969917498584,0.03164282618105053,0.9697324949375056,0.03541969917498584,0.04984828781946316,0.041413224684249086
CRACKS35,real,primary,218,1677,2429,68741,218,1895,402,2647,73065,2647,section_051,0.09599295464531926,0.05041628122097499,0.11503957783580454,0.08235738571937153,0.9761850663181323,0.11503957783580454,0.1518700415559053,0.13091371417594935
CRACKS35,real,primary,493,1887,2977,60246,493,2380,823,3470,65603,3470,section_067,0.16854700854672044,0.09202912077638226,0.2071428571419868,0.14207492795348106,0.9696296653950446,0.2071428571419868,0.23717579250652113,0.22114430820250064
CRACKS35,real,primary,405,2184,1995,63458,405,2589,727,2400,68042,2400,section_068,0.16235718580845387,0.0883507853401214,0.15643105446057773,0.16874999999929688,0.9667286188719164,0.15643105446057773,0.3029166666654045,0.2063167851683867
CRACKS35,real,primary,313,1814,2070,62352,313,2127,501,2383,66549,2383,section_106,0.1388026607535725,0.07457707886567888,0.14715561824096307,0.13134704154372076,0.9717295764110321,0.14715561824096307,0.21023919429202587,0.17312997650753228
CRACKS35,real,primary,177,2004,2198,73259,177,2181,411,2375,77638,2375,section_108,0.07769973661089179,0.040420187257272394,0.08115543328711071,0.07452631578915989,0.9733733707132358,0.08115543328711071,0.17305263157821874,0.11049343184432821
CRACKS35,real,primary,270,1834,2054,57266,270,2104,501,2324,61424,2324,section_116,0.12195121951191971,0.06493506493490876,0.12832699619710872,0.11617900172067049,0.9689678510996669,0.12832699619710872,0.21557659208168858,0.16088401895594878
CRACKS35,real,primary,472,3591,1892,69379,472,4063,631,2364,75334,2364,section_124,0.14688034852941204,0.07926112510482072,0.11617031749909877,0.1996615905236901,0.9507879950663354,0.11617031749909877,0.26692047377213657,0.1618845249336309
CRACKS35,real,primary,533,2850,2210,78724,533,3383,742,2743,84317,2743,section_131,0.17401240613748936,0.09529769354533292,0.1575524682230046,0.1943127962078224,0.9650623973323651,0.1575524682230046,0.2705067444394076,0.19912667687578153
CRACKS35,real,primary,402,2763,2630,76421,402,3165,547,3032,82216,3032,section_133,0.1297401968692436,0.06937014667805114,0.12701421800907736,0.13258575197845454,0.9651065871892094,0.12701421800907736,0.18040897097565828,0.14907465959609206
