scheme,method,metric,n_training_runs,mean,sd,min,max
primary,real,dice,3,0.09542976670546809,0.013926618567240633,0.07934890456141701,0.1035416767634285
primary,real,iou,3,0.05014294517326307,0.007646588551661801,0.0413135445317816,0.054597391092001506
primary,real,precision,3,0.09069941679480653,0.019571549739287736,0.07557820262313378,0.11280503060729025
primary,real,recall,3,0.10487668346009255,0.027329636377469664,0.08351561507739327,0.13567406612944558
primary,real,tolerant_f1,3,0.11840500587436038,0.015216783724448023,0.10242371906883098,0.13272015407562
primary,slog,dice,3,0.1503666458828725,0.026888207446352338,0.12352314087642491,0.17729933391642486
primary,slog,iou,3,0.08144775998296533,0.015723855424546147,0.06582715916577701,0.09727287492432136
primary,slog,precision,3,0.14682618089768323,0.030847487326037513,0.11168271204999411,0.16942483508850964
primary,slog,recall,3,0.15542635111930558,0.02650222261864515,0.13817191402885393,0.1859414910881605
primary,slog,tolerant_f1,3,0.18329146212291217,0.035694981587143196,0.14533131789799805,0.21617844972099295
primary,log,dice,3,0.14607701132125503,0.03962600190055619,0.11570041633606089,0.1908991894988382
primary,log,iou,3,0.07912551220703533,0.02330324818071899,0.06140234670703818,0.10552158751504555
primary,log,precision,3,0.1055994898081793,0.0353429323156123,0.07328173584393993,0.14334065000353016
primary,log,recall,3,0.25076323130256173,0.0512859263710962,0.1918826999336459,0.2856860614441956
primary,log,tolerant_f1,3,0.16297542403243254,0.04583584952982386,0.12431613298247057,0.2136103329129006
primary,canny,dice,3,0.149181440328428,0.013867308209029719,0.14062676105472,0.16518120863246596
primary,canny,iou,3,0.08064357030370968,0.008131677402018814,0.07563127085473695,0.09002589760340993
primary,canny,precision,3,0.11171253195027418,0.00823442448441093,0.10274263879808168,0.11892905485116054
primary,canny,recall,3,0.22787334829216432,0.04271312784385582,0.18488308096129255,0.2703038342670481
primary,canny,tolerant_f1,3,0.16894729470759332,0.013120024336291485,0.15655312260494225,0.1826891413251847
inclusive_uncertain,real,dice,3,0.0858424487418235,0.021851215088501075,0.07274734998219402,0.1110679100017334
inclusive_uncertain,real,iou,3,0.04493745467451445,0.012007534141857429,0.03774665972389344,0.058799313426792024
inclusive_uncertain,real,precision,3,0.24986435803657406,0.0244258260361234,0.22684596733706175,0.27548866035547565
inclusive_uncertain,real,recall,3,0.05251071065719779,0.016582064266147886,0.04190676289163829,0.07161964199502979
inclusive_uncertain,real,tolerant_f1,3,0.12728287909083594,0.024313816804048424,0.1129121252180666,0.15535539949939126
inclusive_uncertain,slog,dice,3,0.11562453366582849,0.034383060440173314,0.09127873318576381,0.15495726351635863
inclusive_uncertain,slog,iou,3,0.06159753378715396,0.019559849532772317,0.04782192914846765,0.08398573130706044
inclusive_uncertain,slog,precision,3,0.33999198320970003,0.08014793091949671,0.2560541072400669,0.4157176325858278
inclusive_uncertain,slog,recall,3,0.06986118104204897,0.02202793382437631,0.05553863399493067,0.09522625507905624
inclusive_uncertain,slog,tolerant_f1,3,0.17088149501427727,0.04993859631138728,0.1330555283988354,0.22748745629876876
inclusive_uncertain,log,dice,3,0.1440133766691695,0.007578766126025498,0.13752812172297985,0.15234459895863392
inclusive_uncertain,log,iou,3,0.0776059691467461,0.004406521579298608,0.07384171719693704,0.08245292865367115
inclusive_uncertain,log,precision,3,0.24796743933478296,0.056060745857114604,0.18470006524279978,0.29146437878830533
inclusive_uncertain,log,recall,3,0.10373607338293551,0.011526503102165998,0.09252847484247216,0.11555699216151631
inclusive_uncertain,log,tolerant_f1,3,0.19443508317319855,0.01195920499861136,0.18275652269194304,0.20665644794891777
inclusive_uncertain,canny,dice,3,0.16181913740405407,0.019948636601965556,0.14488745646410348,0.18381038868805144
inclusive_uncertain,canny,iou,3,0.08811798563743178,0.01185489653838711,0.07810170707376271,0.10120660725246279
inclusive_uncertain,canny,precision,3,0.2972188884223072,0.037010807883966934,0.25580565986279047,0.32706378894357885
inclusive_uncertain,canny,recall,3,0.11166641456994486,0.016644633274318827,0.10106522950816066,0.13085062958565388
inclusive_uncertain,canny,tolerant_f1,3,0.21688357674173722,0.024619002994972817,0.18978810146154945,0.2378792485230565
