image,algorithm,height,width,fault_mask_found,fault_mask_path,edge_threshold_used,edge_pixel_count,skeleton_pixel_count,component_count,connected_component_mean_length_px,connected_component_median_length_px,connected_component_p90_length_px,total_skeleton_graph_length_px,endpoint_count,break_rate_endpoint_per_px,breaks_per_100px,fragmentation_components_per_100px,local_directional_continuity,bidirectional_continuity_ratio,edge_density_full,edge_density_valid_signal,branch_point_count,crossing_structure_count,junction_count_total,local_orientation_entropy,spurious_short_edge_pixel_ratio,short_component_ratio,isolated_response_ratio,isolated_component_ratio,strict_isolated_pixel_ratio,mean_edge_response,low_coherence_threshold,edge_in_low_coherence_precision,low_coherence_edge_recall,edge_low_coherence_iou,edge_low_coherence_f1,response_low_vs_other_mean_ratio,response_vs_one_minus_coherence_corr,edge_to_low_coherence_mean_distance_px,edge_near_fault_precision,fault_coverage_recall,fault_edge_f1,edge_to_fault_mean_distance_px
0.png,SLoG,512,512,FALSE,,0.35,89516,53534,5724,10.49188238,2,22.3137085,60055.53475,9934,0.165413563,16.54135633,9.531178141,0.986438513,0.9735682,0.34147644,0.361519706,864,815,1679,0.416395634,0.237736765,0.796645702,0.093622744,0.545073375,0.029383196,0.506887674,0.61456852,0.393132429,0.325224957,0.216522067,0.355968992,0.958568783,-0.042064448,3.683463845,,,,
0.png,LoG,512,512,FALSE,,0.166015789,27850,18621,3928,5.339586086,1,5.414213562,20973.89415,5653,0.269525533,26.9525533,18.72804341,0.903576612,0.827291767,0.106239319,0.116558882,126,224,350,0.32577908,0.50115461,0.955702648,0.269910316,0.74185336,0.067450728,0.269177645,0.61456852,0.231115432,0.061643507,0.051153117,0.097327622,0.672715515,-0.22696991,5.147613476,,,,
0.png,Canny,512,512,FALSE,,0.9,65592,57494,2777,22.5274343,4,59.89604615,62558.68504,5151,0.082338687,8.233868721,4.439031924,0.989833713,0.98048492,0.250213623,0.255670778,592,465,1057,0.453162581,0.097105785,0.648541592,0.029376978,0.406553835,0.011688176,1,0.61456852,0.440432028,0.257675428,0.194123903,0.325131927,0.997487534,-0.002625751,3.34961388,,,,
10.png,SLoG,512,512,FALSE,,0.35,138478,63287,278,313.3879676,1,7.538477631,87121.855,1674,0.019214467,1.921446691,0.319093298,0.989997923,0.980785943,0.528251648,0.525470083,1288,1939,3227,0.35599786,0.009923049,0.920863309,0.004819315,0.694244604,0.001611705,0.519920588,0.804216564,0.403595779,0.516625154,0.292965946,0.453168851,0.991733092,-0.008609999,4.403031003,,,,
10.png,LoG,512,512,FALSE,,0.201172575,73110,47762,4808,12.0979556,2,11.41421356,58166.97054,9205,0.158251322,15.82513223,8.265859397,0.963349521,0.930195553,0.278892517,0.301052387,414,810,1224,0.289770454,0.285184875,0.884567388,0.106486328,0.55906822,0.019659981,0.314423144,0.804216564,0.212047161,0.155508981,0.098556844,0.179429666,0.546826583,-0.326575199,6.014768544,,,,
10.png,Canny,512,512,FALSE,,0.9,72584,68325,1653,43.2610259,9,128.8617316,71510.47581,3174,0.044385105,4.438510532,2.311549436,0.994921327,0.989945115,0.276885986,0.277165871,256,95,351,0.35166201,0.046425174,0.520266183,0.0110794,0.280701754,0.003644347,1,0.804216564,0.380115468,0.256647024,0.180924034,0.306410962,0.916394172,-0.026297074,4.538986835,,,,
100.png,SLoG,512,512,FALSE,,0.35,68965,46734,7921,6.217738495,1.414213562,10.41421356,49250.70662,12233,0.248382223,24.83822231,16.08301798,0.969818532,0.942803954,0.263080597,0.277973862,540,598,1138,0.420942068,0.419651645,0.894962757,0.174990371,0.621386189,0.050177601,0.509072542,0.45289067,0.305063936,0.200009817,0.137404992,0.241611375,0.95374089,-0.044641968,5.003207623,,,,
100.png,LoG,512,512,FALSE,,0.150391072,26384,16228,2514,8.108677893,1,6,20385.21622,3841,0.188420861,18.84208614,12.33246669,0.918720722,0.85900912,0.100646973,0.109764422,205,267,472,0.333507299,0.353216663,0.942720764,0.199223564,0.747812251,0.049543998,0.258566171,0.45289067,0.157743061,0.040838365,0.033527568,0.064879871,0.570293305,-0.282657598,7.665844925,,,,
100.png,Canny,512,512,FALSE,,0.9,56337,47227,2920,17.92569602,3.414213562,45.46589463,52343.03237,4786,0.091435283,9.143528342,5.578583945,0.978402197,0.958667711,0.2149086,0.213714309,578,390,968,0.521357536,0.119444386,0.664726027,0.037351515,0.423972603,0.017278252,1,0.45289067,0.418661266,0.211034212,0.163208442,0.280617706,1.013009244,0.008592323,3.921444793,,,,
1002.png,SLoG,512,512,FALSE,,0.35,150995,68249,186,559.4148645,1,8.707106781,104051.1648,1105,0.010619775,1.06197754,0.17875821,0.989699483,0.980058316,0.576000214,0.569273626,1396,2224,3620,0.4042418,0.005670413,0.903225806,0.002842532,0.725806452,0.001216135,0.53140837,0.753808522,0.403975069,0.57304051,0.31051295,0.473880017,0.981268525,-0.017519011,5.116207258,,,,
1002.png,LoG,512,512,FALSE,,0.25586009,72111,46474,4759,12.55282308,2,8.414213562,59738.88504,8766,0.146738594,14.6738594,7.96633549,0.960009873,0.924194173,0.275081635,0.299543398,445,793,1238,0.316529065,0.268816973,0.912796806,0.117657185,0.626181971,0.024034944,0.401508659,0.753808522,0.188359182,0.140590587,0.087551433,0.161006515,0.522627503,-0.355831974,7.298212212,,,,
1002.png,Canny,512,512,FALSE,,0.9,73416,66990,1623,44.42788352,7.828427125,119.4759451,72106.45495,3236,0.04487809,4.487809035,2.250838709,0.99529779,0.990655322,0.280059814,0.279230898,415,142,557,0.396455705,0.043991641,0.541589649,0.012404837,0.321010474,0.004388715,1,0.753808522,0.372423415,0.259125497,0.180367055,0.305611808,0.928047321,-0.023288891,5.332970558,,,,
1004.png,SLoG,512,512,FALSE,,0.35,143131,68095,292,337.30769,1,10.78700577,98493.84547,1620,0.016447728,1.64477282,0.296465224,0.990865707,0.982289449,0.546001434,0.539671895,1252,2104,3356,0.352136761,0.010030105,0.893835616,0.004434981,0.667808219,0.001674132,0.511267364,0.805349314,0.386040262,0.537566378,0.289801416,0.449373698,0.985573015,-0.016220859,5.67265515,,,,
1004.png,LoG,512,512,FALSE,,0.228515759,62839,40728,3588,14.34088316,2,10.48700577,51455.08879,6629,0.128830795,12.88307951,6.973071243,0.960579932,0.926168729,0.239711761,0.263171572,412,721,1133,0.278447658,0.230111962,0.891583055,0.099636614,0.618729097,0.021213907,0.366063565,0.805349314,0.173647831,0.117917437,0.07553274,0.140456422,0.52733863,-0.315693602,8.199814208,,,,
1004.png,Canny,512,512,FALSE,,0.9,71780,67614,1548,45.71250908,8.242640687,114.5156421,70762.96405,2935,0.041476499,4.147649889,2.187585018,0.994771779,0.989706274,0.27381897,0.27394355,241,80,321,0.347222567,0.044754045,0.531653747,0.010781791,0.289405685,0.003431242,1,0.805349314,0.365525261,0.25837362,0.178375432,0.30274805,0.930153006,-0.021560488,5.740561349,,,,
1005.png,SLoG,512,512,FALSE,,0.35,128968,63758,681,125.1002856,1,15.07106781,85193.29447,2668,0.031317019,3.131701875,0.799358687,0.990816832,0.982229681,0.491973877,0.492313049,1303,1823,3126,0.350144148,0.022852034,0.860499266,0.011088805,0.653450808,0.003732865,0.495094329,0.800105453,0.352930651,0.467083897,0.251612786,0.402061706,0.970426775,-0.029149217,7.106902134,,,,
